FID,Country,Observation,Evidence,Total_no,Location_Name,Description,Source,Contributor,Assessment_Year,WebLink,Lat,Long,Closest_Lat,Closest_Long,Combined_Lat,Combined_Long,Comments,Data_Sensitivity,Data Request Info
,Namibia/Botswana/South Africa/Zimbabwe,"eg camera trap photo, questionnaire, telemetry record, capture, direct observation, tourist photo, spoor, scat, kill, newspaper article, blog post, Flickr album, Inaturalist","eg telemetry record, photo or video, skin, carcass",,"Name of the PA, Reserve, Farm etc where the observation was made","Any relevant information describing geographic context; eg name of specific waterhole, road etc.","Name of research programme, title of published study, individual, Instagram, Facebook, Flickr, Twitter, blog",Name of data provider, ,link URL (if applicable),,,,,,, ,High = original record sensitive or classified; Medium = no publication concern; Low = already published in public domain,"For all observations with high data sensitivity, lower resolution (10km) data is available directly via Dryad.  Contact data providers, listed below, for original observations "
1,Botswana,Direct observation - cheetah handled,photo,2,Sekhutlane, ,CCB data,L Boast,2010, ,-25.61538,24.512069, , ,-25.61538,24.512069,61 & 62 - subadult male siblings,medium,
2,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.5861,22.98041, , ,-25.5861,22.98041,Translocated male - SA Male - Kealiboga,low,
3,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.5772,23.02184, , ,-25.5772,23.02184,Translocated male - SA Male - Kealiboga,low,
4,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57712,23.02194, , ,-25.57712,23.02194,Translocated male - SA Male - Kealiboga,low,
5,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57709,23.02202, , ,-25.57709,23.02202,Translocated male - SA Male - Kealiboga,low,
6,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57698,23.02197, , ,-25.57698,23.02197,Translocated male - SA Male - Kealiboga,low,
7,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57696,23.02198, , ,-25.57696,23.02198,Translocated male - SA Male - Kealiboga,low,
8,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.57203,22.97838, , ,-25.57203,22.97838,Translocated male - SA Male - Kealiboga,low,
9,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-25.5472,22.3222,-25.5472,22.3222,georeferenced spoor survey data,medium,
10,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.54352,23.0293, , ,-25.54352,23.0293,Translocated male - SA Male - Kealiboga,low,
11,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.50579,22.95104, , ,-25.50579,22.95104,Translocated male - SA Male - Kealiboga,low,
12,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-25.4526,21.7666,-25.4526,21.7666,georeferenced spoor survey data,medium,
13,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.37797,22.51821, , ,-25.37797,22.51821,Translocated male - SA Male - Kealiboga,low,
14,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-25.3761,22.0264,-25.3761,22.0264,georeferenced spoor survey data,medium,
15,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-25.3757,21.9014,-25.3757,21.9014,georeferenced spoor survey data,medium,
16,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.31298,22.53711, , ,-25.31298,22.53711,Translocated male - SA Male - Kealiboga,low,
17,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.30949,22.53499, , ,-25.30949,22.53499,Translocated male - SA Male - Kealiboga,low,
18,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.30436,22.5352, , ,-25.30436,22.5352,Translocated male - SA Male - Kealiboga,low,
19,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.30073,22.54237, , ,-25.30073,22.54237,Translocated male - SA Male - Kealiboga,low,
20,Botswana/SA,GPS collar telemetry,GPS telemetry record,1, , ,CCB unpublished data,Cheetah Conservation Botswana,2010, ,-25.30042,22.54549, , ,-25.30042,22.54549,Translocated male - SA Male - Kealiboga,low,
21,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-25.0708,22.4139,-25.0708,22.4139,georeferenced spoor survey data,medium,
22,Botswana,Direct observation,verified sighting report,3,Kgalagadi Transfontier NP,Mpayathutlwa Pan,FotoPassion,FJ Weise,2010,http://foto-passion.com/wp-content/reiseberichte/reisebericht_botswana_mai_2010/reisebericht_botswana_mai_2010.htm, , ,-25.065698,21.98649,-25.065698,21.98649, ,low - published online,
23,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.9425,22.3737,-24.9425,22.3737,georeferenced spoor survey data,medium,
24,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.9423,22.3409,-24.9423,22.3409,georeferenced spoor survey data,medium,
25,Botswana,Spoor,spoor - expert tracker,1,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.8538,21.818,-24.8538,21.818,georeferenced spoor survey data,medium,
26,Botswana,Spoor,spoor - expert tracker,1,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.8178,21.7351,-24.8178,21.7351,georeferenced spoor survey data,medium,
27,Botswana,Direct observation,photo,4,Kgalagadi Transfontier NP,Kalahari desert habitat North of Nossob River,iNaturalist,N Mitchell,2010,http://www.inaturalist.org/observations/241884,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,"female cheetah (which had 3 almost adult young) chasing a springbok, the springbok escaped. 
",high - original record classified,cheetah@wcs.org 
28,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.6888,22.2962,-24.6888,22.2962,georeferenced spoor survey data,medium,
29,Botswana,Camera trap record,photo,2,Jwana Game Park,J2 roadway camera,"Boast L, Molefe U, Kokole M & Klein R (2011) Results of a motion camera survey in Jwana game park, Jwaneng, Botswana. Report to the Debswana Mining Company and the Botswana Department of Wildlife and National Parks. Cheetah Conservation Botswana.",FJ Weise,2010, , , ,-24.5451,24.74868,-24.5451,24.74868,georeferenced camera location from published study,low - published already,
30,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.5154,21.0062,-24.5154,21.0062,georeferenced spoor survey data,medium,
31,Botswana,Camera trap record,photo,2,Jwana Game Park,J7 waterhole camera,"Boast L, Molefe U, Kokole M & Klein R (2011) Results of a motion camera survey in Jwana game park, Jwaneng, Botswana. Report to the Debswana Mining Company and the Botswana Department of Wildlife and National Parks. Cheetah Conservation Botswana.",FJ Weise,2010, , , ,-24.50653,24.66342,-24.50653,24.66342,georeferenced camera location from published study,low - published already,
32,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.33351,21.11225, , ,-24.33351,21.11225,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
33,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.33173,21.11883, , ,-24.33173,21.11883,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
34,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.33042,21.12325, , ,-24.33042,21.12325,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
35,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.3213,20.5202,-24.3213,20.5202,georeferenced spoor survey data,medium,
36,Botswana,Spoor,spoor - expert tracker,1,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.2894,20.7528,-24.2894,20.7528,georeferenced spoor survey data,medium,
37,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.28588,21.04473, , ,-24.28588,21.04473,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
38,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.24218,20.98457, , ,-24.24218,20.98457,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
39,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.2413,21.02105, , ,-24.2413,21.02105,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
40,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.23969,20.98141, , ,-24.23969,20.98141,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
41,Botswana,Spoor,spoor - expert tracker,1,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.2236,20.2861,-24.2236,20.2861,georeferenced spoor survey data,medium,
42,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.2221,20.2944,-24.2221,20.2944,georeferenced spoor survey data,medium,
43,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-24.2088,21.0692,-24.2088,21.0692,georeferenced spoor survey data,medium,
44,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.2036,20.99893, , ,-24.2036,20.99893,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
45,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.18765,20.98056, , ,-24.18765,20.98056,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
46,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.1876,21.10434, , ,-24.1876,21.10434,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
47,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.18744,20.96989, , ,-24.18744,20.96989,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
48,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.17789,21.10652, , ,-24.17789,21.10652,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
49,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.1739,21.10274, , ,-24.1739,21.10274,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
50,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.16799,21.04934, , ,-24.16799,21.04934,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
51,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.15784,21.09665, , ,-24.15784,21.09665,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
52,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.14781,20.97796, , ,-24.14781,20.97796,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
53,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.1438,21.03798, , ,-24.1438,21.03798,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
54,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.12387,20.97621, , ,-24.12387,20.97621,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
55,Botswana,GPS collar telemetry,GPS telemetry record,3, , ,"Boast L (2015) Exploring the causes of and mitigation options for human-predator
conflict on game ranches in Botswana: How is coexistence possible? PhD thesis, University of Cape Town, South Africa.",Cheetah Conservation Botswana,2010, ,-24.12199,20.97608, , ,-24.12199,20.97608,Translocated Female with 2 8-week old cubs - Mmabana,Low, 
56,Botswana,Spoor,spoor - expert tracker,0,"KD15, KD12, KD2 and KD1 wildlife management areas",buffer of Kgalagadi Transfrontier Park,"Modungo E. & Dipotso F.M. (2010) PREDATOR POPULATION ESTIMATES IN KGALAGADI WILDLIFE MANAGEMENT AREAS, THROUGH SPOOR COUNTS AND CALL UP. Internal Report, Department of Wildlife and National Parks, Botswana.",FJ Weise,2010, , , ,-23.9365,21.184,-23.9365,21.184,georeferenced spoor survey data,medium,
57,Botswana,Tourist record,photo,1,Limpopo-Lipadi Game Reserve,southern plains,Panoramio,FJ Weise,2010,http://www.panoramio.com/photo/86046836,-22.581264,28.522514, , ,-22.581264,28.522514, ,low - published online,
58,Botswana,Tourist record,photo,1,Limpopo-Lipadi,"West of Usutu
on the Southern Plains",Google Earth Panoramio,A Wong,2010,http://www.panoramio.com/photo/86046836?source=wapi&referrer=kh.google.com,-22.57777778,28.52251389, , ,-22.577778,28.522514, ,low - published online,
59,Botswana,Tourist record,photo,1,Northern Tuli Game Reserve,near Molema Camp,FotoCommunity,FJ Weise,2010,http://www.fotocommunity.de/pc/pc/display/20947277, , ,-22.297359,28.97648,-22.297359,28.97648, ,low - published online,
60,Botswana,Direct observation,expert,0,Redshields,18T,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,,,High,alienor.brassine@gmail.com 
61,Botswana,Direct observation,expert,1,Redshields,17T,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
62,Botswana,Direct observation,expert,3, ,Mothlabaneng road 11T,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
63,Botswana,Research and monitoring,photo,3,Tuli Safari Lodge,Tuli football field,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
64,Botswana,Direct observation,expert,6,Redshields,Northern Bedrock,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
65,Botswana,Direct observation,expert,2,Redshields,6T,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
66,Botswana,Research and monitoring,photo,1,Tuli Safari Lodge,Central,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
67,Botswana,Research and monitoring,photo,3,Mashatu,vlei,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
68,Botswana,Research and monitoring,photo,1,Mashatu,vlei,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
69,Botswana,Research and monitoring,photo,3,Mashatu,vlei,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
70,Botswana,Research and monitoring,photo,3,Pitsane Game Reserve,Gilillan property,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
71,Botswana,Research and monitoring,photo,3,Charter,Charter/Mashatu cutline,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
72,Botswana,Research and monitoring,photo,1,Mashatu,Pole Hill,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
73,Botswana,Research and monitoring,photo,3,Mashatu,Pole Hill,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
74,Botswana,Research and monitoring,photo,1,Mashatu,Lucenda Crossing,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
75,Botswana,Research and monitoring,photo,1,Mashatu,Russet bushwillow old M1 on plain,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
76,Botswana,Research and monitoring,photo,1,Mashatu,Well shaped Mashatu,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
77,Botswana,Research and monitoring,photo,3,Mashatu,Disapointment koppie,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
78,Botswana,Research and monitoring,photo,2,Mashatu,Cheetah koppie,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
79,Botswana,Research and monitoring,photo,2,Mashatu,Cheetah koppie,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
80,Botswana,Direct observation,expert,1,Redshields,Leopard koppie 5Q,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
81,Botswana,Research and monitoring,photo,1,Mashatu,Dissapointment koppie,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
82,Botswana,Research and monitoring,photo,1,Mashatu,Dissapointment koppie,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
83,Botswana,Research and monitoring,photo,2,Mashatu,trumpet thorn area east of Tent camp,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
84,Botswana,Research and monitoring,photo,2,Mashatu,Tent Camp,The Northern Tuli Cheetah Project,E Brassine,2010, ,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,alienor.brassine@gmail.com 
85,Botswana,Direct observation - cheetah handled,photo,1,Ghanzi, ,CCB data,L Boast,2010, ,-21.76849,21.37563, , ,-21.76849,21.37563,WD9 - adult male,medium,
86,Botswana,Camera trap photo,Photo,2,Farmland 128,Cheetah marking tree,CCB unpublished data,Cheetah Conservation Botswana,2010,NA,yy.yyyyy,xx.xxxxx,yy.yyyyy,xx.xxxxx,,, ,High,info@cheetahconservationbotswana.org; rklein@cheetahconservationbotswana.org; jhorgan@cheetahconservationbotswana.org 
